J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D
16.50,30.30,29.79,22.92,25.42,24.36,21.23,15.75,20.61,26.65,17.10,20.50,23.52,50.53,40.33,32.30,20.04,48.72,40.36,18.61,25.34,20.12,36.45,50.14,21.83,21.59,14.14,37.15,63.25,26.87,32.65,16.94,27.31,29.06,27.23,22.13,14.65,48.58,36.34,35.48,12.02,18.29,52.43,15.80,18.95,22.74,37.49,23.94,22.12,6.91,26.19,25.19,21.08,57.69,32.30,26.79,14.73,33.53,30.53,11.24,19.89,27.54,29.86,23.43,24.31,33.29,41.52,13.34,37.92,29.04,25.78,17.69
19.33,30.88,30.49,23.43,25.62,24.44,21.77,16.38,21.92,27.53,18.90,21.80,52.32,96.87,31.22,28.57,15.95,31.91,23.75,15.35,54.21,31.99,26.25,35.19,23.02,24.16,12.13,121.05,30.70,39.54,24.13,13.46,34.17,9.35,16.92,21.46,14.70,31.65,52.73,36.34,10.87,25.20,33.16,17.53,20.20,33.86,13.52,18.99,30.68,26.92,13.48,35.32,17.77,22.22,23.45,27.62,15.29,80.82,33.66,18.29,27.08,27.16,40.17,29.78,19.85,91.83,21.71,12.13,29.76,87.62,27.26,36.14
22.60,32.53,30.90,24.12,26.39,24.53,23.13,17.63,22.63,30.08,19.39,21.93,33.96,10.42,32.97,19.03,23.99,21.17,26.54,15.60,37.90,33.23,38.23,45.68,23.56,39.70,18.40,137.45,21.15,56.20,22.96,26.04,29.87,8.17,24.96,29.19,13.55,42.14,106.66,19.96,16.46,39.95,19.68,26.22,23.15,31.33,19.56,18.83,44.99,39.27,11.30,34.15,16.81,16.87,35.43,24.65,18.04,88.60,34.33,11.67,27.09,18.63,111.79,56.87,46.54,49.54,20.08,11.80,46.15,49.13,58.77,47.62
22.90,33.65,31.08,24.18,28.03,25.28,23.50,17.91,22.66,30.23,19.87,22.66,20.54,7.58,35.98,23.17,22.07,28.26,13.17,17.35,28.78,14.87,37.58,31.23,25.87,49.37,21.15,22.95,26.85,28.84,16.90,27.15,22.03,12.35,47.47,36.25,18.44,47.23,26.37,19.76,22.08,39.50,21.48,68.03,16.95,16.37,21.48,16.52,35.50,39.64,17.53,17.79,16.32,33.93,35.82,27.92,18.88,57.52,39.71,44.48,41.48,19.57,58.35,36.73,37.29,38.36,34.45,7.39,51.91,32.37,44.26,65.89
23.42,34.07,31.69,25.90,28.45,25.33,23.99,18.52,22.94,31.15,20.63,23.50,4.70,20.49,34.01,23.66,29.63,37.78,13.22,18.65,28.50,28.95,20.63,46.21,38.30,32.39,117.00,25.95,28.55,33.26,16.31,31.80,18.61,9.81,45.65,32.30,35.04,44.54,48.85,35.37,21.77,30.29,27.37,26.78,15.15,9.20,28.80,27.05,62.40,30.42,26.71,22.50,19.49,20.06,32.78,27.67,29.71,46.43,32.89,16.04,45.05,18.32,18.28,47.56,28.66,20.09,26.19,8.44,51.79,19.36,41.78,31.40
25.72,36.10,31.90,30.40,29.12,25.40,23.99,18.79,23.13,33.15,22.84,23.53,16.73,23.24,27.69,26.07,158.16,31.90,10.93,20.41,31.31,19.36,56.33,48.29,13.61,6.03,23.49,34.25,30.15,12.86,21.76,22.21,11.96,12.51,59.99,28.00,33.44,51.15,19.23,27.38,26.11,18.30,28.64,27.38,16.60,19.71,33.72,6.77,20.07,16.29,22.14,23.85,19.52,17.96,24.51,30.03,25.26,49.13,40.00,20.43,35.75,26.00,261.06,22.87,18.43,23.53,21.71,13.43,31.41,16.56,44.84,44.49
25.79,38.40,33.43,33.14,33.49,26.04,24.35,18.99,23.31,34.22,24.03,23.73,13.26,30.43,30.80,27.01,25.82,26.81,18.93,31.18,26.42,38.14,31.48,20.69,17.80,14.92,16.93,62.30,38.50,14.80,26.20,15.18,18.97,12.46,48.99,17.80,42.54,12.90,13.81,35.67,71.63,30.48,29.23,20.04,19.65,37.46,55.93,9.79,18.68,20.52,28.91,33.20,23.62,16.06,18.97,25.01,22.45,47.59,38.34,41.30,34.25,9.80,20.73,72.25,33.50,24.63,20.33,18.92,34.68,17.54,46.93,49.43
26.00,38.55,38.27,33.79,33.74,26.09,24.49,19.46,25.88,34.85,24.14,24.42,22.76,84.19,38.15,34.03,27.96,34.65,17.18,24.50,31.72,46.50,20.76,12.71,32.61,16.42,55.39,37.90,48.30,20.55,36.40,21.58,19.62,5.82,35.38,7.16,62.23,34.71,22.28,19.28,26.01,23.23,25.37,19.98,22.05,27.41,55.18,13.48,10.28,24.45,11.95,31.90,33.64,20.22,18.43,19.97,30.15,30.37,46.72,30.48,48.00,10.20,36.27,10.93,21.92,32.77,24.47,20.36,33.75,30.47,41.90,19.13
26.67,38.60,38.82,33.81,35.34,26.37,26.37,19.69,26.26,34.95,25.33,24.56,11.31,8.44,30.00,26.59,17.75,50.62,19.72,18.65,33.28,29.86,17.80,12.60,62.18,41.29,10.43,64.90,30.85,18.90,30.22,19.07,23.22,8.84,32.34,11.85,21.05,28.26,38.04,26.42,20.46,23.17,27.67,23.75,20.20,28.75,47.88,44.74,10.79,26.84,12.74,14.68,26.36,27.22,16.27,36.43,27.00,47.23,56.24,21.36,62.92,24.32,27.79,16.66,29.56,34.56,18.34,24.87,27.64,25.97,66.38,24.60
27.66,38.73,42.06,34.79,35.83,26.60,31.92,19.83,26.57,35.75,25.58,28.39,18.76,8.13,38.77,27.93,16.31,29.34,12.80,15.15,33.47,20.50,30.68,25.62,55.14,11.50,18.97,44.45,48.15,29.35,25.44,26.73,13.56,9.91,19.46,48.41,43.97,21.40,39.30,33.87,115.27,25.52,27.03,31.68,25.40,24.80,14.65,37.19,8.75,31.19,17.74,21.37,19.09,44.01,31.68,33.06,22.64,58.11,49.52,24.37,17.01,38.38,36.69,43.01,27.27,78.75,19.74,27.86,24.64,31.10,96.70,30.68
27.77,42.94,45.78,38.53,36.83,27.08,34.07,20.09,26.59,37.08,27.81,28.70,9.52,14.75,35.22,23.72,21.63,38.56,17.48,23.94,30.11,21.23,32.84,30.15,56.48,20.89,34.98,20.05,28.80,23.00,28.60,24.03,10.59,8.15,47.17,31.57,74.95,37.38,28.59,19.41,55.55,37.44,38.31,38.18,21.00,34.07,13.83,48.38,13.07,12.76,15.26,23.94,20.70,18.98,35.03,46.58,41.14,59.86,34.15,49.19,16.25,19.51,44.97,28.63,25.32,125.58,22.22,30.98,38.36,29.28,42.53,48.28
28.95,43.58,46.67,41.73,39.37,27.35,35.67,21.55,28.15,38.11,28.15,28.70,9.82,20.93,39.52,28.63,25.27,37.43,21.09,21.12,35.58,25.85,54.44,20.85,19.03,23.72,33.37,27.50,22.15,20.73,23.12,21.98,15.57,12.18,39.73,17.84,17.21,89.99,27.26,27.99,75.71,21.94,26.32,28.34,17.80,35.45,12.52,36.04,8.35,24.82,19.77,20.57,25.05,23.91,18.27,43.08,46.41,39.26,45.04,40.16,23.96,21.13,55.94,48.61,55.99,80.62,30.14,18.73,34.58,43.36,22.59,58.42
29.87,43.76,46.67,48.41,41.12,28.02,38.03,21.80,28.93,40.23,28.75,30.93,25.64,75.69,177.31,16.96,28.11,61.67,13.56,23.27,25.74,29.15,46.83,19.45,23.26,25.65,35.96,26.70,29.05,18.80,30.89,17.03,25.66,9.23,23.70,12.30,21.07,14.95,25.93,12.97,43.30,20.98,26.92,32.20,18.95,43.22,30.39,45.90,23.14,26.38,38.03,22.86,17.83,94.82,15.81,26.24,39.64,41.35,43.39,96.43,25.84,32.54,43.52,35.40,18.61,61.07,22.00,23.05,34.80,24.54,90.66,61.32
33.09,45.57,56.37,49.36,42.49,29.25,38.83,22.87,29.20,40.60,30.85,30.95,7.79,15.12,22.91,58.44,26.77,45.26,12.72,13.34,15.36,30.88,34.27,24.84,20.76,29.64,62.77,33.45,24.50,44.98,43.88,13.40,34.04,20.73,17.83,30.46,25.56,14.70,19.94,9.76,25.96,24.30,21.82,24.80,17.65,36.68,13.20,31.86,49.09,9.76,17.80,22.54,16.96,43.34,13.91,25.58,39.68,47.22,46.75,21.02,61.87,28.47,15.27,36.92,26.25,48.36,14.26,22.19,22.53,26.65,27.28,87.79
35.76,46.91,58.29,50.09,46.43,35.90,43.45,23.40,29.75,41.24,33.47,40.35,6.44,23.35,24.39,136.85,45.48,36.43,10.91,15.13,25.93,38.23,35.68,44.13,44.65,11.70,45.92,30.60,29.95,34.28,26.44,20.62,31.67,19.61,19.34,28.59,29.33,33.66,36.03,17.02,21.19,48.96,26.16,19.06,21.45,33.69,16.00,30.10,36.01,17.71,20.38,36.02,25.73,21.97,10.43,23.99,46.54,36.94,31.79,32.11,22.48,36.97,10.35,25.94,31.18,19.30,14.01,19.82,18.10,47.27,15.45,21.24
39.34,51.81,58.35,55.80,52.68,37.69,45.43,26.87,30.26,42.32,44.73,42.29,14.01,40.90,14.96,26.70,45.92,21.07,20.92,13.70,25.75,52.81,48.17,24.41,40.78,24.21,22.85,42.45,31.65,36.09,35.85,17.00,21.37,29.62,36.52,13.64,23.36,37.99,37.82,58.66,117.74,40.90,26.47,21.79,17.89,38.82,36.49,13.55,21.30,22.76,31.49,33.00,25.28,40.26,11.01,27.41,31.27,75.78,39.17,26.13,15.33,39.51,21.66,66.00,36.97,31.30,19.25,21.31,13.77,96.50,18.52,17.50
39.38,58.35,65.05,66.65,54.72,38.08,51.29,28.49,30.70,43.32,46.76,48.58,6.65,25.98,19.29,56.05,22.60,20.25,20.62,12.97,6.13,54.21,53.05,31.60,13.51,82.52,16.83,30.75,23.40,21.39,21.96,18.63,31.27,38.42,50.24,13.36,26.51,35.26,35.96,30.88,57.36,22.83,23.30,54.95,21.46,29.63,10.32,13.23,24.08,30.74,138.80,26.45,25.19,58.87,12.37,41.87,28.46,8.83,33.04,26.57,8.25,31.91,87.38,76.72,36.27,41.25,26.04,22.55,12.55,15.19,22.36,23.24
41.35,59.23,112.88,76.24,60.12,42.92,51.69,30.96,32.25,44.78,56.46,51.73,25.47,142.21,42.42,64.65,28.93,25.00,26.27,17.51,7.42,23.61,36.01,45.79,21.75,47.55,14.97,30.15,29.20,40.02,20.80,27.71,42.29,37.95,43.57,8.41,35.27,28.87,31.91,22.74,19.01,26.91,43.96,33.40,25.84,51.79,4.37,3.80,15.59,26.53,13.06,21.64,26.96,42.29,15.19,50.72,109.56,10.98,17.44,37.81,19.08,29.38,20.96,13.58,25.94,7.65,25.73,22.34,14.41,34.26,38.35,14.11
44.44,72.57,119.03,94.36,68.62,43.91,51.85,31.11,32.56,45.19,57.78,70.25,25.89,,7.39,15.15,25.20,35.80,13.89,24.59,9.26,42.88,29.88,41.77,24.59,,23.96,24.55,33.30,58.44,30.00,33.33,26.09,44.08,44.85,4.22,38.45,,45.55,22.47,23.35,17.67,86.42,29.35,21.49,34.57,23.66,2.25,20.31,29.80,19.62,40.75,19.92,28.89,22.48,33.68,47.84,14.28,25.05,27.00,33.55,,28.59,9.89,36.45,6.82,21.23,14.98,28.12,36.27,53.14,20.24
53.08,,132.44,94.83,103.01,47.09,71.62,34.24,37.23,50.24,57.91,83.54,36.63,,18.21,12.25,54.96,37.31,13.32,27.53,8.29,37.62,32.37,35.00,43.59,,24.62,32.75,25.75,17.24,32.85,34.46,20.16,21.41,71.74,7.08,57.17,,39.60,32.68,30.99,24.32,28.57,18.65,27.24,70.78,12.49,8.05,20.44,,16.90,37.11,15.57,21.15,32.82,20.87,60.98,25.66,23.40,16.15,19.37,,41.52,9.18,23.14,13.51,18.53,33.48,13.12,36.39,34.30,22.38
67.52,,134.04,,112.68,,124.04,36.57,,54.36,,121.41,24.48,,297.86,,23.71,,22.40,30.43,,32.09,,23.24,42.35,,29.20,,24.84,,30.64,31.58,,12.65,,19.54,62.75,,32.90,,26.12,,29.21,17.35,,18.42,,23.22,22.68,,24.84,,14.49,,32.60,28.14,,31.85,,24.11,9.38,,38.88,,35.31,,16.76,28.84,,27.82,,3.77
,,,,,,,,,,,,,,,,,,,,,,,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
