January ,February,March,April,May,June,July,August,September,October,November,December
25.8,23.7,25.5,27.5,32,50.7,22.4,23.9,16.6,47.7,33.1,34.2
16.5,11.7,27.2,16.4,27.4,23.4,83.4,27.2,12.4,49.6,18.1,30.9
13.7,16,25.8,23.1,64.9,20.7,22.7,18.8,19.8,50.9,28.1,44.9
13.9,23.1,26.4,20,38.6,37.7,25.9,27.3,18.5,38.3,35.2,45.6
12.9,21.2,16.1,23,28.1,24.1,34,26.1,19.1,33.1,31.8,72.3
15.1,25.6,11.5,25.7,25.7,18.1,36.6,26.8,19.7,31.2,34.1,41.9
11.1,28.2,23.1,15.9,20.5,16,24.7,28.3,29.9,73.4,27.6,14.7
19.4,18.8,18.8,21.1,19.3,18.1,30.8,27.2,28.3,71.1,31.8,16.4
36.1,27.7,20.7,24.3,18.9,23.7,30.6,28.7,22.7,48.2,33.8,17.9
24.5,19.9,31.8,19.6,18.4,31.4,30.1,30.5,26.3,47.6,41.8,43.1
17.4,16.9,16.6,21,19.6,16.4,26.5,25.1,27.2,51.7,47.8,17.9
21.7,17.6,17.4,21.5,19.8,23.3,19.5,21.9,23.5,38,52.9,15.8
15.6,18.7,30.6,27.6,30,81.2,20,39.1,38.3,28.2,32.3,33.7
22.8,19.8,109.7,22.3,24.7,27.2,18.2,31.5,36.6,28.6,35.4,28.3
19.3,17.8,17.1,23.2,20.3,25.6,29.5,37.2,31.1,33.5,39.8,19.6
20.1,18.3,22,21.7,21.1,39.7,35.7,39.1,32.1,38.5,34.8,19.6
33.9,19.5,16.3,38.7,23.1,44.2,21,26.4,37.1,33.7,23.3,30.9
19.8,21.6,25.8,35.7,19.3,26,19.2,26.7,26.6,36.3,32.8,24
13.8,27.9,19.7,35.5,18.4,29.7,17.7,25.2,25.6,39,34.4,55.4
32.6,23.7,23.2,25.8,22.7,22.7,14.9,26.8,97.4,38.7,16.8,20.2
29.9,17.4,45.5,32,25.2,29.4,15.8,34.4,38.9,68.5,20.5,32.5
31.5,20.3,29.4,24.3,25.4,93,15.9,43.1,50.4,14,29.4,20.2
41.6,24.9,20.5,21.9,28.1,23.9,21.4,30.2,13.5,12.8,40,24.8
55.6,13.3,18.8,36.3,20.9,34.2,25.1,20.6,29,18.1,20.4,46.3
42,14.2,32.7,24.4,16.6,49.2,35.4,22.7,18,35.3,30.4,25.7
12.4,19.2,42.2,24.3,16,26,33.8,15.5,17.1,30,36.8,18.7
19.4,39.1,58.2,21.7,15.6,25.1,24.6,25.3,27.2,16.1,46.8,18.9
21.8,21.7,42.1,43.3,68,25.2,31.2,23.7,98.2,13.8,44.7,
19.6,16.1,26.4,25,27.1,23,22.1,24.1,66,14.7,39.9,
23.8,24.2,30,26.6,21.2,25.2,19.1,41,85.2,20.5,24.5,
26.3,18.8,75,47.1,29.9,72.6,13.5,35.2,85.4,27.2,24,
32.7,30.8,56.8,32.5,48.7,57.3,21.6,21.2,38.7,20.4,29.8,
28.5,34.7,17.6,42.3,31.4,37.9,25.2,21.2,27.7,30.2,27.6,
44.5,28.1,279.4,23.3,39,22.1,28.9,23.3,52.4,22.6,44.4,
59.4,24.6,18.4,59.6,23.3,23.1,22.2,14.6,48.2,32.4,33.1,
21.1,,36.6,12.7,26.5,24.9,22.1,13.3,88.8,32.3,,
15.9,,27.8,16.4,23.4,32.1,34,14.2,35.8,62.4,,
21.8,,31.9,34.3,22.3,34.4,27.1,10.5,28.7,43.7,,
24.4,,35.9,32.4,36.5,72.2,19.2,11.7,32.9,29.4,,
59.1,,50.7,47.3,30.9,109.4,22.2,16.3,26.7,22.6,,
19.5,,37.8,27.5,27.2,68.7,21.4,21.1,23.4,19.9,,
15.7,,16.3,26.8,22.3,53.8,22,16.8,36.3,21.6,,
12.3,,12,24.5,33.3,35.3,23.9,23.9,32,27.3,,
18.4,,20.4,59.3,23.3,18.1,30.1,27.4,32.7,24.6,,
33.2,,19.4,65.1,29.7,28.1,21.7,35.2,22.2,28.1,,
17.1,,19.8,15.1,22.6,38.7,14.1,22.4,17,32.6,,
14.9,,24,14.4,21.1,10.2,14.7,27.7,15.9,35,,
,,31.8,11.7,49.6,9.7,19.2,22.2,12.9,23.1,,
,,38.7,,18.7,14.8,29.7,23.4,16.4,25.9,,
,,,,20.8,,26,23.4,19.9,34.6,,
,,,,25.1,,23.3,25.7,13.4,67,,
,,,,28.9,,20.5,21.9,,15,,
,,,,26.9,,19.2,17.6,,28.2,,
,,,,21.1,,,32.4,,37.9,,
,,,,37.4,,,28,,32.9,,
,,,,23.1,,,,,27.1,,
,,,,30.4,,,,,,,
